Counter,Row,ColumnCounter,Video,Filename,"What is the start time of the commercial? (Remember to pause the video at the black frame right before the commercial starts, and then click on Share and click the ""start at"" button before copying and pasting the URL here)","What is the END time of the commercial? (Remember to pause the video at the black frame right after the commercial ends, and then click on Share and click the ""start at"" button before copying and pasting the URL here)",Who is the ad's sponsor (or the company who makes the product in the ad)?,"What is the product being advertised, if any?",Is the Commercial Particularly Interesting/Weird/Cool?,Blank,Date,Sponsor--Product,StartTime,EndTime,Time,Interesting,Formula
4,28,19,https://youtu.be/G2I-geEYE7o,1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM,https://youtu.be/G2I-geEYE7o?t=574,https://youtu.be/G2I-geEYE7o?t=602,shakey's,pizza,No,0,1989 08 19,shakey's--pizza,574,602,28,,"ffmpeg -ss 573 -i ""1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM"".mp4 -c copy -t 31 ""shakey's--pizza__ zz_1989 08 19_1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM_574s"".mp4"
5,28,25,https://youtu.be/G2I-geEYE7o,1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM,https://youtu.be/G2I-geEYE7o?t=603,https://youtu.be/G2I-geEYE7o?t=632,Lucky's,,No,0,1989 08 19,Lucky's--,603,632,29,,"ffmpeg -ss 602 -i ""1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM"".mp4 -c copy -t 32 ""Lucky's--__ zz_1989 08 19_1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM_603s"".mp4"
6,28,31,https://youtu.be/G2I-geEYE7o,1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM,https://youtu.be/G2I-geEYE7o?t=634,https://youtu.be/G2I-geEYE7o?t=663,Uniglobe,travel agency,No,0,1989 08 19,Uniglobe--travel agency,634,663,29,,"ffmpeg -ss 633 -i ""1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM"".mp4 -c copy -t 32 ""Uniglobe--travel agency__ zz_1989 08 19_1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM_634s"".mp4"
7,28,37,https://youtu.be/G2I-geEYE7o,1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM,https://youtu.be/G2I-geEYE7o?t=665,https://youtu.be/G2I-geEYE7o?t=674,C&R,tailoring,No,0,1989 08 19,C&R--tailoring,665,674,9,,"ffmpeg -ss 664 -i ""1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM"".mp4 -c copy -t 12 ""C&R--tailoring__ zz_1989 08 19_1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM_665s"".mp4"
8,28,43,https://youtu.be/G2I-geEYE7o,1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM,https://youtu.be/G2I-geEYE7o?t=890,https://youtu.be/G2I-geEYE7o?t=920,toyota,car,No,0,1989 08 19,toyota--car,890,920,30,,"ffmpeg -ss 889 -i ""1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM"".mp4 -c copy -t 33 ""toyota--car__ zz_1989 08 19_1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM_890s"".mp4"
9,28,49,https://youtu.be/G2I-geEYE7o,1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM,https://youtu.be/G2I-geEYE7o,https://youtu.be/G2I-geEYE7o?t=950,warehousr,movie rental,No,0,1989 08 19,warehousr--movie rental,#VALUE!,950,#VALUE!,,#VALUE!
10,28,55,https://youtu.be/G2I-geEYE7o,1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM,https://youtu.be/G2I-geEYE7o?t=950,https://youtu.be/G2I-geEYE7o?t=980,pacific bell,yellow pages,No,0,1989 08 19,pacific bell--yellow pages,950,980,30,,"ffmpeg -ss 949 -i ""1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM"".mp4 -c copy -t 33 ""pacific bell--yellow pages__ zz_1989 08 19_1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM_950s"".mp4"
11,28,61,https://youtu.be/G2I-geEYE7o,1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM,https://youtu.be/G2I-geEYE7o?t=982,https://youtu.be/G2I-geEYE7o?t=1011,Great Salsa,salsa,Yes,0,1989 08 19,Great Salsa--salsa,982,1011,29,Int,"ffmpeg -ss 981 -i ""1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM"".mp4 -c copy -t 32 ""Great Salsa--salsa_Int_ zz_1989 08 19_1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM_982s"".mp4"
12,28,67,https://youtu.be/G2I-geEYE7o,1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM,https://youtu.be/G2I-geEYE7o?t=1726,https://youtu.be/G2I-geEYE7o?t=1756,charter hopsital,,No,0,1989 08 19,charter hopsital--,1726,1756,30,,"ffmpeg -ss 1725 -i ""1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM"".mp4 -c copy -t 33 ""charter hopsital--__ zz_1989 08 19_1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM_1726s"".mp4"
13,28,73,https://youtu.be/G2I-geEYE7o,1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM,https://youtu.be/G2I-geEYE7o?t=1757,https://youtu.be/G2I-geEYE7o?t=1786,bank of america,alpha account,No,0,1989 08 19,bank of america--alpha account,1757,1786,29,,"ffmpeg -ss 1756 -i ""1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM"".mp4 -c copy -t 32 ""bank of america--alpha account__ zz_1989 08 19_1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM_1757s"".mp4"
14,28,79,https://youtu.be/G2I-geEYE7o,1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM,https://youtu.be/G2I-geEYE7o?t=1786,https://youtu.be/G2I-geEYE7o?t=1816,subway,sandwich,No,0,1989 08 19,subway--sandwich,1786,1816,30,,"ffmpeg -ss 1785 -i ""1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM"".mp4 -c copy -t 33 ""subway--sandwich__ zz_1989 08 19_1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM_1786s"".mp4"
15,28,85,https://youtu.be/G2I-geEYE7o,1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM,https://youtu.be/G2I-geEYE7o?t=1816,https://youtu.be/G2I-geEYE7o?t=1831,kerns,juice,No,0,1989 08 19,kerns--juice,1816,1831,15,,"ffmpeg -ss 1815 -i ""1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM"".mp4 -c copy -t 18 ""kerns--juice__ zz_1989 08 19_1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM_1816s"".mp4"
16,28,91,https://youtu.be/G2I-geEYE7o,1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM,https://youtu.be/G2I-geEYE7o?t=2350,https://youtu.be/G2I-geEYE7o?t=2381,sprint,cell provider,No,0,1989 08 19,sprint--cell provider,2350,2381,31,,"ffmpeg -ss 2349 -i ""1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM"".mp4 -c copy -t 34 ""sprint--cell provider__ zz_1989 08 19_1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM_2350s"".mp4"
17,28,97,https://youtu.be/G2I-geEYE7o,1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM,https://youtu.be/G2I-geEYE7o?t=2380,https://youtu.be/G2I-geEYE7o?t=2395,plax,dental rinse,No,0,1989 08 19,plax--dental rinse,2380,2395,15,,"ffmpeg -ss 2379 -i ""1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM"".mp4 -c copy -t 18 ""plax--dental rinse__ zz_1989 08 19_1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM_2380s"".mp4"
18,28,103,https://youtu.be/G2I-geEYE7o,1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM,https://youtu.be/G2I-geEYE7o?t=2395,https://youtu.be/G2I-geEYE7o?t=2411,malox,medicine,No,0,1989 08 19,malox--medicine,2395,2411,16,,"ffmpeg -ss 2394 -i ""1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM"".mp4 -c copy -t 19 ""malox--medicine__ zz_1989 08 19_1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM_2395s"".mp4"
19,28,109,https://youtu.be/G2I-geEYE7o,1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM,https://youtu.be/G2I-geEYE7o?t=3260,https://youtu.be/G2I-geEYE7o?t=3273,tums,tums,No,0,1989 08 19,tums--tums,3260,3273,13,,"ffmpeg -ss 3259 -i ""1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM"".mp4 -c copy -t 16 ""tums--tums__ zz_1989 08 19_1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM_3260s"".mp4"
20,28,115,https://youtu.be/G2I-geEYE7o,1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM,https://youtu.be/G2I-geEYE7o?t=3808,https://youtu.be/G2I-geEYE7o?t=3823,whirlpool,laundry machine,No,0,1989 08 19,whirlpool--laundry machine,3808,3823,15,,"ffmpeg -ss 3807 -i ""1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM"".mp4 -c copy -t 18 ""whirlpool--laundry machine__ zz_1989 08 19_1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM_3808s"".mp4"
21,28,121,https://youtu.be/G2I-geEYE7o,1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM,,,,,,1,1989 08 19,--,#VALUE!,#VALUE!,#VALUE!,,
22,28,127,https://youtu.be/G2I-geEYE7o,1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM,,,,,,1,1989 08 19,--,#VALUE!,#VALUE!,#VALUE!,,
23,28,133,https://youtu.be/G2I-geEYE7o,1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM,,,,,,1,1989 08 19,--,#VALUE!,#VALUE!,#VALUE!,,
24,28,139,https://youtu.be/G2I-geEYE7o,1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM,,,,,,1,1989 08 19,--,#VALUE!,#VALUE!,#VALUE!,,
25,28,145,https://youtu.be/G2I-geEYE7o,1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM,,,,,,1,1989 08 19,--,#VALUE!,#VALUE!,#VALUE!,,
26,28,151,https://youtu.be/G2I-geEYE7o,1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM,,,,,,1,1989 08 19,--,#VALUE!,#VALUE!,#VALUE!,,
27,28,157,https://youtu.be/G2I-geEYE7o,1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM,,,,,,1,1989 08 19,--,#VALUE!,#VALUE!,#VALUE!,,
28,28,163,https://youtu.be/G2I-geEYE7o,1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM,,,,,,1,1989 08 19,--,#VALUE!,#VALUE!,#VALUE!,,
29,28,169,https://youtu.be/G2I-geEYE7o,1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM,,,,,,1,1989 08 19,--,#VALUE!,#VALUE!,#VALUE!,,
30,28,175,https://youtu.be/G2I-geEYE7o,1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM,,,,,,1,1989 08 19,--,#VALUE!,#VALUE!,#VALUE!,,
31,28,181,https://youtu.be/G2I-geEYE7o,1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM,,,,,,1,1989 08 19,--,#VALUE!,#VALUE!,#VALUE!,,
32,28,187,https://youtu.be/G2I-geEYE7o,1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM,,,,,,1,1989 08 19,--,#VALUE!,#VALUE!,#VALUE!,,
33,28,193,https://youtu.be/G2I-geEYE7o,1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM,,,,,,1,1989 08 19,--,#VALUE!,#VALUE!,#VALUE!,,
34,28,199,https://youtu.be/G2I-geEYE7o,1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM,,,,,,1,1989 08 19,--,#VALUE!,#VALUE!,#VALUE!,,
35,28,205,https://youtu.be/G2I-geEYE7o,1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM,,,,,,1,1989 08 19,--,#VALUE!,#VALUE!,#VALUE!,,
36,28,211,https://youtu.be/G2I-geEYE7o,1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM,,,,,,1,1989 08 19,--,#VALUE!,#VALUE!,#VALUE!,,
37,28,217,https://youtu.be/G2I-geEYE7o,1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM,,,,,,1,1989 08 19,--,#VALUE!,#VALUE!,#VALUE!,,
38,28,223,https://youtu.be/G2I-geEYE7o,1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM,,,,,,1,1989 08 19,--,#VALUE!,#VALUE!,#VALUE!,,
39,28,229,https://youtu.be/G2I-geEYE7o,1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM,,,,,,1,1989 08 19,--,#VALUE!,#VALUE!,#VALUE!,,
40,28,235,https://youtu.be/G2I-geEYE7o,1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM,,,,,,1,1989 08 19,--,#VALUE!,#VALUE!,#VALUE!,,
41,28,241,https://youtu.be/G2I-geEYE7o,1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM,,,,,,1,1989 08 19,--,#VALUE!,#VALUE!,#VALUE!,,
42,28,247,https://youtu.be/G2I-geEYE7o,1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM,,,,,,1,1989 08 19,--,#VALUE!,#VALUE!,#VALUE!,,
43,28,253,https://youtu.be/G2I-geEYE7o,1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM,,,,,,1,1989 08 19,--,#VALUE!,#VALUE!,#VALUE!,,
44,28,259,https://youtu.be/G2I-geEYE7o,1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM,,,,,,1,1989 08 19,--,#VALUE!,#VALUE!,#VALUE!,,
45,28,265,https://youtu.be/G2I-geEYE7o,1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM,,,,,,1,1989 08 19,--,#VALUE!,#VALUE!,#VALUE!,,
46,28,271,https://youtu.be/G2I-geEYE7o,1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM,,,,,,1,1989 08 19,--,#VALUE!,#VALUE!,#VALUE!,,
47,28,277,https://youtu.be/G2I-geEYE7o,1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM,,,,,,1,1989 08 19,--,#VALUE!,#VALUE!,#VALUE!,,
48,28,283,https://youtu.be/G2I-geEYE7o,1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM,,,,,,1,1989 08 19,--,#VALUE!,#VALUE!,#VALUE!,,
49,28,289,https://youtu.be/G2I-geEYE7o,1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM,,,,,,1,1989 08 19,--,#VALUE!,#VALUE!,#VALUE!,,
50,28,295,https://youtu.be/G2I-geEYE7o,1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM,,,,,,1,1989 08 19,--,#VALUE!,#VALUE!,#VALUE!,,
51,28,301,https://youtu.be/G2I-geEYE7o,1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM,,,,,,1,1989 08 19,--,#VALUE!,#VALUE!,#VALUE!,,
52,28,307,https://youtu.be/G2I-geEYE7o,1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM,,,,,,1,1989 08 19,--,#VALUE!,#VALUE!,#VALUE!,,
53,28,313,https://youtu.be/G2I-geEYE7o,1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM,,,,,,1,1989 08 19,--,#VALUE!,#VALUE!,#VALUE!,,
54,28,319,https://youtu.be/G2I-geEYE7o,1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM,,,,,,1,1989 08 19,--,#VALUE!,#VALUE!,#VALUE!,,
55,28,325,https://youtu.be/G2I-geEYE7o,1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM,,,,,,1,1989 08 19,--,#VALUE!,#VALUE!,#VALUE!,,
56,28,331,https://youtu.be/G2I-geEYE7o,1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM,,,,,,1,1989 08 19,--,#VALUE!,#VALUE!,#VALUE!,,
57,28,337,https://youtu.be/G2I-geEYE7o,1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM,,,,,,1,1989 08 19,--,#VALUE!,#VALUE!,#VALUE!,,
58,28,343,https://youtu.be/G2I-geEYE7o,1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM,,,,,,1,1989 08 19,--,#VALUE!,#VALUE!,#VALUE!,,
59,28,349,https://youtu.be/G2I-geEYE7o,1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM,,,,,,1,1989 08 19,--,#VALUE!,#VALUE!,#VALUE!,,
60,28,355,https://youtu.be/G2I-geEYE7o,1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM,,,,,,1,1989 08 19,--,#VALUE!,#VALUE!,#VALUE!,,
61,28,361,https://youtu.be/G2I-geEYE7o,1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM,,,,,,1,1989 08 19,--,#VALUE!,#VALUE!,#VALUE!,,
62,28,367,https://youtu.be/G2I-geEYE7o,1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM,,,,,,1,1989 08 19,--,#VALUE!,#VALUE!,#VALUE!,,
63,28,373,https://youtu.be/G2I-geEYE7o,1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM,,,,,,1,1989 08 19,--,#VALUE!,#VALUE!,#VALUE!,,
64,28,379,https://youtu.be/G2I-geEYE7o,1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM,,,,,,1,1989 08 19,--,#VALUE!,#VALUE!,#VALUE!,,
65,28,385,https://youtu.be/G2I-geEYE7o,1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM,,,,,,1,1989 08 19,--,#VALUE!,#VALUE!,#VALUE!,,
66,28,391,https://youtu.be/G2I-geEYE7o,1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM,,,,,,1,1989 08 19,--,#VALUE!,#VALUE!,#VALUE!,,
67,28,397,https://youtu.be/G2I-geEYE7o,1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM,,,,,,1,1989 08 19,--,#VALUE!,#VALUE!,#VALUE!,,
68,28,403,https://youtu.be/G2I-geEYE7o,1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM,,,,,,1,1989 08 19,--,#VALUE!,#VALUE!,#VALUE!,,
69,28,409,https://youtu.be/G2I-geEYE7o,1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM,,,,,,1,1989 08 19,--,#VALUE!,#VALUE!,#VALUE!,,
70,28,415,https://youtu.be/G2I-geEYE7o,1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM,,,,,,1,1989 08 19,--,#VALUE!,#VALUE!,#VALUE!,,
71,28,421,https://youtu.be/G2I-geEYE7o,1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM,,,,,,1,1989 08 19,--,#VALUE!,#VALUE!,#VALUE!,,
72,28,427,https://youtu.be/G2I-geEYE7o,1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM,,,,,,1,1989 08 19,--,#VALUE!,#VALUE!,#VALUE!,,
73,28,433,https://youtu.be/G2I-geEYE7o,1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM,,,,,,1,1989 08 19,--,#VALUE!,#VALUE!,#VALUE!,,
74,28,439,https://youtu.be/G2I-geEYE7o,1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM,,,,,,1,1989 08 19,--,#VALUE!,#VALUE!,#VALUE!,,
75,28,445,https://youtu.be/G2I-geEYE7o,1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM,,,,,,1,1989 08 19,--,#VALUE!,#VALUE!,#VALUE!,,
76,28,451,https://youtu.be/G2I-geEYE7o,1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM,,,,,,1,1989 08 19,--,#VALUE!,#VALUE!,#VALUE!,,
77,28,457,https://youtu.be/G2I-geEYE7o,1989 08 19 0000 US NA024824 V3 VHS39 MB27 H32 JM,,,,,,1,1989 08 19,--,#VALUE!,#VALUE!,#VALUE!,,
1,29,1,https://youtu.be/6R3Rb-uWf9Q,1989 08 19 0000 US NA024825 V4 VHS53 MB26 H17 JM,https://youtu.be/6R3Rb-uWf9Q?t=143,https://youtu.be/6R3Rb-uWf9Q?t=173,Folgers Coffee,Folgers Mountain Grown Coffee,No,0,1989 08 19,Folgers Coffee--Folgers Mountain Grown Coffee,143,173,30,,"ffmpeg -ss 142 -i ""1989 08 19 0000 US NA024825 V4 VHS53 MB26 H17 JM"".mp4 -c copy -t 33 ""Folgers Coffee--Folgers Mountain Grown Coffee__ zz_1989 08 19_1989 08 19 0000 US NA024825 V4 VHS53 MB26 H17 JM_143s"".mp4"
2,29,7,https://youtu.be/6R3Rb-uWf9Q,1989 08 19 0000 US NA024825 V4 VHS53 MB26 H17 JM,https://youtu.be/6R3Rb-uWf9Q?t=173,https://youtu.be/6R3Rb-uWf9Q?t=188,Playtex,Playtex Eighteen Hour Bra,No,0,1989 08 19,Playtex--Playtex Eighteen Hour Bra,173,188,15,,"ffmpeg -ss 172 -i ""1989 08 19 0000 US NA024825 V4 VHS53 MB26 H17 JM"".mp4 -c copy -t 18 ""Playtex--Playtex Eighteen Hour Bra__ zz_1989 08 19_1989 08 19 0000 US NA024825 V4 VHS53 MB26 H17 JM_173s"".mp4"
3,29,13,https://youtu.be/6R3Rb-uWf9Q,1989 08 19 0000 US NA024825 V4 VHS53 MB26 H17 JM,https://youtu.be/6R3Rb-uWf9Q?t=188,https://youtu.be/6R3Rb-uWf9Q?t=218,Philadelphia Cream Cheese,Philadelphia Cream Cheese,No,0,1989 08 19,Philadelphia Cream Cheese--Philadelphia Cream Cheese,188,218,30,,"ffmpeg -ss 187 -i ""1989 08 19 0000 US NA024825 V4 VHS53 MB26 H17 JM"".mp4 -c copy -t 33 ""Philadelphia Cream Cheese--Philadelphia Cream Cheese__ zz_1989 08 19_1989 08 19 0000 US NA024825 V4 VHS53 MB26 H17 JM_188s"".mp4"
4,29,19,https://youtu.be/6R3Rb-uWf9Q,1989 08 19 0000 US NA024825 V4 VHS53 MB26 H17 JM,https://youtu.be/6R3Rb-uWf9Q?t=218,https://youtu.be/6R3Rb-uWf9Q,Tampax,Tampax Tampons,No,0,1989 08 19,Tampax--Tampax Tampons,218,#VALUE!,#VALUE!,,#VALUE!
5,29,25,https://youtu.be/6R3Rb-uWf9Q,1989 08 19 0000 US NA024825 V4 VHS53 MB26 H17 JM,https://youtu.be/6R3Rb-uWf9Q,https://youtu.be/6R3Rb-uWf9Q?t=263,Ace Hardware,N/A,No,0,1989 08 19,Ace Hardware--N/A,#VALUE!,263,#VALUE!,,#VALUE!
6,29,31,https://youtu.be/6R3Rb-uWf9Q,1989 08 19 0000 US NA024825 V4 VHS53 MB26 H17 JM,https://youtu.be/6R3Rb-uWf9Q?t=263,https://youtu.be/6R3Rb-uWf9Q?t=284,Fox on KTTV 11,Married with Children Special Episode,No,0,1989 08 19,Fox on KTTV 11--Married with Children Special Episode,263,284,21,,"ffmpeg -ss 262 -i ""1989 08 19 0000 US NA024825 V4 VHS53 MB26 H17 JM"".mp4 -c copy -t 24 ""Fox on KTTV 11--Married with Children Special Episode__ zz_1989 08 19_1989 08 19 0000 US NA024825 V4 VHS53 MB26 H17 JM_263s"".mp4"
7,29,37,https://youtu.be/6R3Rb-uWf9Q,1989 08 19 0000 US NA024825 V4 VHS53 MB26 H17 JM,https://youtu.be/6R3Rb-uWf9Q?t=863,https://youtu.be/6R3Rb-uWf9Q?t=893,Reebok,Reebok Sneakers,No,0,1989 08 19,Reebok--Reebok Sneakers,863,893,30,,"ffmpeg -ss 862 -i ""1989 08 19 0000 US NA024825 V4 VHS53 MB26 H17 JM"".mp4 -c copy -t 33 ""Reebok--Reebok Sneakers__ zz_1989 08 19_1989 08 19 0000 US NA024825 V4 VHS53 MB26 H17 JM_863s"".mp4"
8,29,43,https://youtu.be/6R3Rb-uWf9Q,1989 08 19 0000 US NA024825 V4 VHS53 MB26 H17 JM,https://youtu.be/6R3Rb-uWf9Q?t=893,https://youtu.be/6R3Rb-uWf9Q?t=923,Tide,Tide Laundry Detergent,No,0,1989 08 19,Tide--Tide Laundry Detergent,893,923,30,,"ffmpeg -ss 892 -i ""1989 08 19 0000 US NA024825 V4 VHS53 MB26 H17 JM"".mp4 -c copy -t 33 ""Tide--Tide Laundry Detergent__ zz_1989 08 19_1989 08 19 0000 US NA024825 V4 VHS53 MB26 H17 JM_893s"".mp4"
9,29,49,https://youtu.be/6R3Rb-uWf9Q,1989 08 19 0000 US NA024825 V4 VHS53 MB26 H17 JM,https://youtu.be/6R3Rb-uWf9Q?t=923,https://youtu.be/6R3Rb-uWf9Q?t=953,Fruit of the Loom,Fruit of the Loom Activewear,No,0,1989 08 19,Fruit of the Loom--Fruit of the Loom Activewear,923,953,30,,"ffmpeg -ss 922 -i ""1989 08 19 0000 US NA024825 V4 VHS53 MB26 H17 JM"".mp4 -c copy -t 33 ""Fruit of the Loom--Fruit of the Loom Activewear__ zz_1989 08 19_1989 08 19 0000 US NA024825 V4 VHS53 MB26 H17 JM_923s"".mp4"
10,29,55,https://youtu.be/6R3Rb-uWf9Q,1989 08 19 0000 US NA024825 V4 VHS53 MB26 H17 JM,https://youtu.be/6R3Rb-uWf9Q?t=953,https://youtu.be/6R3Rb-uWf9Q?t=983,Miller Lite,Miller Lite,No,0,1989 08 19,Miller Lite--Miller Lite,953,983,30,,"ffmpeg -ss 952 -i ""1989 08 19 0000 US NA024825 V4 VHS53 MB26 H17 JM"".mp4 -c copy -t 33 ""Miller Lite--Miller Lite__ zz_1989 08 19_1989 08 19 0000 US NA024825 V4 VHS53 MB26 H17 JM_953s"".mp4"
11,29,61,https://youtu.be/6R3Rb-uWf9Q,1989 08 19 0000 US NA024825 V4 VHS53 MB26 H17 JM,https://youtu.be/6R3Rb-uWf9Q?t=983,https://youtu.be/6R3Rb-uWf9Q?t=1013,Fox ,Open House Premiere,No,0,1989 08 19,Fox --Open House Premiere,983,1013,30,,"ffmpeg -ss 982 -i ""1989 08 19 0000 US NA024825 V4 VHS53 MB26 H17 JM"".mp4 -c copy -t 33 ""Fox --Open House Premiere__ zz_1989 08 19_1989 08 19 0000 US NA024825 V4 VHS53 MB26 H17 JM_983s"".mp4"
12,29,67,https://youtu.be/6R3Rb-uWf9Q,1989 08 19 0000 US NA024825 V4 VHS53 MB26 H17 JM,https://youtu.be/6R3Rb-uWf9Q?t=1013,https://youtu.be/6R3Rb-uWf9Q?t=1044,Chevron,N/A,Yes,0,1989 08 19,Chevron--N/A,1013,1044,31,Int,"ffmpeg -ss 1012 -i ""1989 08 19 0000 US NA024825 V4 VHS53 MB26 H17 JM"".mp4 -c copy -t 34 ""Chevron--N/A_Int_ zz_1989 08 19_1989 08 19 0000 US NA024825 V4 VHS53 MB26 H17 JM_1013s"".mp4"
